1;D:\Zenék\YT Music\Afric Simone - Hafanana.mp3;Afric Simone;Hafanana;Afric Simone - Hafanana.mp3;00:02:56.7928333;Mappa
2;D:\Zenék\YT Music\Anomalie - Canal.mp3;Anomalie;Canal;Anomalie - Canal.mp3;00:03:59.1580833;Mappa
3;D:\Zenék\YT Music\Anomalie - Odyssée.mp3;Anomalie;Odyssée;Anomalie - Odyssée.mp3;00:03:21.7285000;Mappa
4;D:\Zenék\YT Music\Anomalie, Chromeo, & Brain Tan - Bend The Rules (Brain Tan Remix).mp3;Anomalie, Chromeo, & Brain Tan;Bend The Rules (Brain Tan Remix);Anomalie, Chromeo, & Brain Tan - Bend The Rules (Brain Tan Remix).mp3;00:02:58.0970000;Mappa
5;D:\Zenék\YT Music\ANOTR & Abel Balder - Relax My Eyes.mp3;ANOTR & Abel Balder;Relax My Eyes;ANOTR & Abel Balder - Relax My Eyes.mp3;00:03:12.2341666;Mappa
6;D:\Zenék\YT Music\ANOTR & Erik Bandt - How You Feel (feat. Leven Kali).mp3;ANOTR & Erik Bandt;How You Feel (feat. Leven Kali);ANOTR & Erik Bandt - How You Feel (feat. Leven Kali).mp3;00:03:16.9291666;Mappa
7;D:\Zenék\YT Music\BADFLITE - High Love (feat. Kyle Reynolds).mp3;BADFLITE;High Love (feat. Kyle Reynolds);BADFLITE - High Love (feat. Kyle Reynolds).mp3;00:03:24.9889166;Mappa
8;D:\Zenék\YT Music\Bakermat - Baianá.mp3;Bakermat;Baianá;Bakermat - Baianá.mp3;00:03:00.9139999;Mappa
9;D:\Zenék\YT Music\Big Mountain - Baby, I Love Your Way.mp3;Big Mountain;Baby, I Love Your Way;Big Mountain - Baby, I Love Your Way.mp3;00:04:09.6175000;Mappa
10;D:\Zenék\YT Music\Bob Marley - Could You Be Loved.mp3;Bob Marley;Could You Be Loved;Bob Marley - Could You Be Loved.mp3;00:03:57.0714166;Mappa
11;D:\Zenék\YT Music\Bondax - Gold (Snakehips Bootleg).mp3;Bondax;Gold (Snakehips Bootleg);Bondax - Gold (Snakehips Bootleg).mp3;00:03:02.7920000;Mappa
12;D:\Zenék\YT Music\C+C Music Factory - Gonna Make You Sweat (Everybody Dance Now) (Radio Mix) (feat. Freedom Williams).mp3;C+C Music Factory;Gonna Make You Sweat (Everybody Dance Now) (Radio Mix) (feat. Freedom Williams);C+C Music Factory - Gonna Make You Sweat (Everybody Dance Now) (Radio Mix) (feat. Freedom Williams).mp3;00:04:06.9570000;Mappa
13;D:\Zenék\YT Music\Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean).mp3;Calvin Harris;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean).mp3;00:03:43.4820000;Mappa
14;D:\Zenék\YT Music\Calvin Harris - My Way.mp3;Calvin Harris;My Way;Calvin Harris - My Way.mp3;00:03:39.2304166;Mappa
15;D:\Zenék\YT Music\Chaka Demus & Pliers - Murder She Wrote.mp3;Chaka Demus & Pliers;Murder She Wrote;Chaka Demus & Pliers - Murder She Wrote.mp3;00:04:07.2960833;Mappa
16;D:\Zenék\YT Music\Charlie - Mindenki valakié.mp3;Charlie;Mindenki valakié;Charlie - Mindenki valakié.mp3;00:04:17.4164166;Mappa
